Mat,Dev,treatment,bucket,embryo_no,length_mm,area_mm2,stage
C,W,CW,CW1,27,NA,0.00711,HB
C,W,CW,CW1,28,NA,0.00733,HB
C,W,CW,CW1,29,NA,0.00658,HB
C,W,CW,CW1,30,NA,0.00754,HB
C,W,CW,CW1,31,NA,0.00661,HB
C,W,CW,CW1,32,NA,0.00616,HB
C,W,CW,CW1,33,NA,0.00664,HB
C,W,CW,CW1,34,NA,0.00653,HB
C,W,CW,CW1,35,NA,0.00725,HB
C,W,CW,CW2,1,NA,0.00746,HB
C,W,CW,CW2,2,NA,0.00733,HB
C,W,CW,CW2,3,NA,0.00766,HB
C,W,CW,CW2,4,NA,0.00785,HB
C,W,CW,CW2,5,NA,0.00805,HB
C,W,CW,CW2,6,NA,0.00801,HB
C,W,CW,CW2,7,NA,0.00782,HB
C,W,CW,CW2,8,NA,0.00733,HB
C,W,CW,CW2,9,NA,0.00753,HB
C,W,CW,CW2,11,NA,0.00791,HB
C,W,CW,CW2,12,NA,0.00793,HB
C,W,CW,CW2,13,NA,0.00795,HB
C,W,CW,CW2,14,NA,0.00754,HB
C,W,CW,CW2,15,NA,0.00833,HB
C,W,CW,CW2,16,NA,0.00767,HB
C,W,CW,CW2,17,NA,0.00736,HB
C,W,CW,CW2,18,NA,0.00784,HB
C,W,CW,CW2,19,NA,0.00756,HB
C,W,CW,CW2,20,NA,0.00744,HB
C,W,CW,CW2,21,NA,0.00772,HB
C,W,CW,CW2,22,NA,0.00824,HB
C,W,CW,CW2,23,NA,0.00758,HB
C,W,CW,CW2,24,NA,0.00822,HB
C,W,CW,CW2,25,NA,0.00728,HB
C,W,CW,CW2,26,NA,0.00832,HB
C,W,CW,CW2,27,NA,0.0073,HB
C,W,CW,CW2,28,NA,0.00779,HB
C,W,CW,CW2,29,NA,0.00837,HB
C,W,CW,CW2,30,NA,0.00774,HB
C,W,CW,CW2,31,NA,0.00822,HB
C,W,CW,CW2,32,NA,0.0076,HB
C,W,CW,CW2,33,NA,0.00788,HB
C,W,CW,CW2,34,NA,0.00736,HB
C,W,CW,CW2,35,NA,0.00802,HB
C,W,CW,CW3,1,NA,0.00781,HB
C,W,CW,CW3,2,NA,0.00805,HB
C,W,CW,CW3,3,NA,0.00774,HB
C,W,CW,CW3,4,NA,0.00816,HB
C,W,CW,CW3,5,NA,0.00801,HB
C,W,CW,CW3,6,NA,0.00774,HB
C,W,CW,CW3,7,NA,0.0079,HB
C,W,CW,CW3,8,NA,0.00748,HB
C,W,CW,CW3,9,NA,0.00785,HB
C,W,CW,CW3,10,NA,0.00793,HB
C,W,CW,CW3,11,NA,0.00789,HB
C,W,CW,CW3,12,NA,0.0082,HB
C,W,CW,CW3,13,NA,0.0078,HB
C,W,CW,CW3,14,NA,0.00778,HB
C,W,CW,CW3,15,NA,0.00802,HB
C,W,CW,CW3,16,NA,0.0078,HB
C,W,CW,CW3,17,NA,0.00774,HB
C,W,CW,CW3,18,NA,0.008,HB
C,W,CW,CW3,19,NA,0.00798,HB
C,W,CW,CW3,20,NA,0.00777,HB
C,W,CW,CW3,21,NA,0.00842,HB
C,W,CW,CW3,22,NA,0.00798,HB
C,W,CW,CW3,23,NA,0.00819,HB
C,W,CW,CW3,24,NA,0.00819,HB
C,W,CW,CW3,25,NA,0.00842,HB
C,W,CW,CW3,26,NA,0.00832,HB
C,W,CW,CW3,27,NA,0.00798,HB
C,W,CW,CW3,28,NA,0.00791,HB
C,W,CW,CW3,29,NA,0.00799,HB
C,W,CW,CW3,30,NA,0.00781,HB
